close_yf,Date
16008.849609375,2022-06-28
15952.75,2022-06-29
15929.400390625,2022-06-30
15925.9501953125,2022-07-01
16018.150390625,2022-07-04
16001.599609375,2022-07-05
16196.25,2022-07-06
16339.099609375,2022-07-07
16424.0,2022-07-08
16465.099609375,2022-07-11
16323.5,2022-07-12
16237.25,2022-07-13
16213.0498046875,2022-07-14
16317.2001953125,2022-07-15
16548.150390625,2022-07-18
16614.05078125,2022-07-19
16773.69921875,2022-07-20
16881.69921875,2022-07-21
16970.69921875,2022-07-22
16892.099609375,2022-07-25
16733.30078125,2022-07-26
16889.55078125,2022-07-27
17169.69921875,2022-07-28
17400.75,2022-07-29
17598.80078125,2022-08-01
17618.25,2022-08-02
17646.0,2022-08-03
17652.94921875,2022-08-04
17655.5,2022-08-05
17784.80078125,2022-08-08
17784.900390625,2022-08-10
17913.94921875,2022-08-11
17956.80078125,2022-08-12
18107.25,2022-08-16
18235.55078125,2022-08-17
18264.400390625,2022-08-18
18071.099609375,2022-08-19
17792.44921875,2022-08-22
17878.400390625,2022-08-23
17917.30078125,2022-08-24
17847.650390625,2022-08-25
17893.80078125,2022-08-26
17666.44921875,2022-08-29
18112.400390625,2022-08-30
17924.30078125,2022-09-01
17916.0,2022-09-02
18021.650390625,2022-09-05
18031.30078125,2022-09-06
18008.099609375,2022-09-07
18168.849609375,2022-09-08
18198.099609375,2022-09-09
18319.80078125,2022-09-12
18453.69921875,2022-09-13
18405.599609375,2022-09-14
18316.900390625,2022-09-15
17938.099609375,2022-09-16
18025.25,2022-09-19
18222.099609375,2022-09-20
18091.900390625,2022-09-21
18030.400390625,2022-09-22
17718.44921875,2022-09-23
17374.80078125,2022-09-26
17366.400390625,2022-09-27
17219.55078125,2022-09-28
17167.75,2022-09-29
17438.599609375,2022-09-30
17190.900390625,2022-10-03
17589.30078125,2022-10-04
17662.80078125,2022-10-06
17641.44921875,2022-10-07
17553.150390625,2022-10-10
17285.849609375,2022-10-11
17423.400390625,2022-10-12
17302.150390625,2022-10-13
17432.55078125,2022-10-14
17560.5,2022-10-17
17741.19921875,2022-10-18
17756.25,2022-10-19
17829.44921875,2022-10-20
17808.80078125,2022-10-21
17951.30078125,2022-10-24
17887.400390625,2022-10-25
17989.0,2022-10-27
18017.19921875,2022-10-28
18243.400390625,2022-10-31
18383.19921875,2022-11-01
18322.400390625,2022-11-02
18297.400390625,2022-11-03
18361.44921875,2022-11-04
18450.150390625,2022-11-07
18406.25,2022-11-09
18267.099609375,2022-11-10
18573.349609375,2022-11-11
18568.400390625,2022-11-14
18635.400390625,2022-11-15
18615.5,2022-11-16
18532.44921875,2022-11-17
18483.19921875,2022-11-18
18334.650390625,2022-11-21
18407.5,2022-11-22
18433.80078125,2022-11-23
18627.25,2022-11-24
18652.05078125,2022-11-25
18696.75,2022-11-28
18758.349609375,2022-11-29
18919.55078125,2022-11-30
18973.05078125,2022-12-01
18870.25,2022-12-02
18867.650390625,2022-12-05
18821.55078125,2022-12-06
18754.0,2022-12-07
18802.0,2022-12-08
18687.650390625,2022-12-09
18690.80078125,2022-12-12
18781.650390625,2022-12-13
18837.25,2022-12-14
18604.44921875,2022-12-15
18446.30078125,2022-12-16
18604.5,2022-12-19
18570.400390625,2022-12-20
18361.150390625,2022-12-21
18277.849609375,2022-12-22
17888.05078125,2022-12-23
18263.55078125,2022-12-27
18270.94921875,2022-12-28
18343.599609375,2022-12-29
18258.75,2022-12-30
18334.30078125,2023-01-02
18376.5,2023-01-03
18173.44921875,2023-01-04
18150.0,2023-01-05
18013.94921875,2023-01-06
18248.55078125,2023-01-09
18081.0,2023-01-10
18054.30078125,2023-01-11
18028.30078125,2023-01-12
18126.25,2023-01-13
18074.19921875,2023-01-16
18216.400390625,2023-01-17
18307.400390625,2023-01-18
18244.75,2023-01-19
18169.44921875,2023-01-20
18249.349609375,2023-01-23
18245.349609375,2023-01-24
17974.349609375,2023-01-25
17594.5,2023-01-27
17571.849609375,2023-01-30
17601.0,2023-01-31
17516.150390625,2023-02-01
17490.30078125,2023-02-02
17687.349609375,2023-02-03
17611.44921875,2023-02-06
17569.69921875,2023-02-07
17719.849609375,2023-02-08
17723.849609375,2023-02-09
17685.44921875,2023-02-10
17575.150390625,2023-02-13
17702.349609375,2023-02-14
17786.900390625,2023-02-15
17814.900390625,2023-02-16
17721.05078125,2023-02-17
17626.900390625,2023-02-20
17604.400390625,2023-02-21
17335.0,2023-02-22
17286.30078125,2023-02-23
17242.150390625,2023-02-24
17156.150390625,2023-02-27
17083.80078125,2023-02-28
17238.44921875,2023-03-01
17129.650390625,2023-03-02
17385.94921875,2023-03-03
17506.30078125,2023-03-06
17552.94921875,2023-03-08
17398.30078125,2023-03-09
17244.30078125,2023-03-10
16997.30078125,2023-03-13
16887.05078125,2023-03-14
16825.05078125,2023-03-15
16852.25,2023-03-16
16964.80078125,2023-03-17
16852.900390625,2023-03-20
16970.5,2023-03-21
17026.19921875,2023-03-22
16958.150390625,2023-03-23
16831.80078125,2023-03-24
16849.30078125,2023-03-27
16795.349609375,2023-03-28
16918.05078125,2023-03-29
17186.150390625,2023-03-31
17224.75,2023-04-03
17373.94921875,2023-04-05
17414.650390625,2023-04-06
17446.30078125,2023-04-10
17540.80078125,2023-04-11
17626.900390625,2023-04-12
17635.150390625,2023-04-13
17543.44921875,2023-04-17
17510.849609375,2023-04-18
17455.44921875,2023-04-19
17459.849609375,2023-04-20
17455.25,2023-04-21
17564.400390625,2023-04-24
17600.05078125,2023-04-25
17645.55078125,2023-04-26
17739.94921875,2023-04-27
17903.94921875,2023-04-28
17989.30078125,2023-05-02
17941.099609375,2023-05-03
18099.75,2023-05-04
17939.25,2023-05-05
18118.5,2023-05-08
18114.05078125,2023-05-09
18170.849609375,2023-05-10
18174.25,2023-05-11
18181.94921875,2023-05-12
18258.099609375,2023-05-15
18162.25,2023-05-16
18056.69921875,2023-05-17
17985.75,2023-05-18
18060.349609375,2023-05-19
18180.900390625,2023-05-22
18219.80078125,2023-05-23
18170.0,2023-05-24
18213.599609375,2023-05-25
18393.05078125,2023-05-26
18490.25,2023-05-29
18516.94921875,2023-05-30
18438.30078125,2023-05-31
18405.69921875,2023-06-01
