date,nav
18-12-2013,6119.80
17-12-2013,6041.40
16-12-2013,6051.95
13-12-2013,6054.10
12-12-2013,6122.65
11-12-2013,6189.15
10-12-2013,6216.05
09-12-2013,6248.35
06-12-2013,6151.55
05-12-2013,6133.65
04-12-2013,6060.30
03-12-2013,6100.90
02-12-2013,6117.55
29-11-2013,6075.95
28-11-2013,5994.30
27-11-2013,5959.70
26-11-2013,5961.25
25-11-2013,6011.20
22-11-2013,5897.55
21-11-2013,5898.00
20-11-2013,6016.95
19-11-2013,6093.45
18-11-2013,6081.90
14-11-2013,5956.25
13-11-2013,5883.55
12-11-2013,5911.65
11-11-2013,5966.55
08-11-2013,6025.15
07-11-2013,6062.25
06-11-2013,6100.15
05-11-2013,6136.25
03-11-2013,6193.80
01-11-2013,6179.70
31-10-2013,6166.70
30-10-2013,6117.90
29-10-2013,6086.90
28-10-2013,5971.85
25-10-2013,6019.20
24-10-2013,6043.30
23-10-2013,6057.25
22-10-2013,6078.30
21-10-2013,6076.50
18-10-2013,6049.30
17-10-2013,5916.45
15-10-2013,5956.90
14-10-2013,5984.80
11-10-2013,5968.95
10-10-2013,5904.90
09-10-2013,5887.25
08-10-2013,5811.65
07-10-2013,5793.55
04-10-2013,5789.55
03-10-2013,5788.00
01-10-2013,5665.10
30-09-2013,5621.65
27-09-2013,5714.50
26-09-2013,5753.75
25-09-2013,5746.35
24-09-2013,5758.20
23-09-2013,5755.35
20-09-2013,5868.55
19-09-2013,5960.00
18-09-2013,5750.30
17-09-2013,5704.55
16-09-2013,5699.10
13-09-2013,5708.60
12-09-2013,5705.45
11-09-2013,5769.35
10-09-2013,5745.60
06-09-2013,5543.35
05-09-2013,5465.45
04-09-2013,5328.05
03-09-2013,5227.70
02-09-2013,5425.90
30-08-2013,5348.40
29-08-2013,5288.30
28-08-2013,5170.90
27-08-2013,5182.50
26-08-2013,5365.45
23-08-2013,5357.35
22-08-2013,5293.45
21-08-2013,5196.70
20-08-2013,5290.15
19-08-2013,5309.10
16-08-2013,5406.50
14-08-2013,5635.45
13-08-2013,5593.35
12-08-2013,5504.40
08-08-2013,5455.55
07-08-2013,5410.85
06-08-2013,5419.05
05-08-2013,5558.20
02-08-2013,5545.85
01-08-2013,5598.45
31-07-2013,5623.80
30-07-2013,5633.75
29-07-2013,5715.40
26-07-2013,5771.50
25-07-2013,5797.15
24-07-2013,5873.00
23-07-2013,5962.85
22-07-2013,5919.55
19-07-2013,5919.40
18-07-2013,5932.95
17-07-2013,5865.15
16-07-2013,5856.20
15-07-2013,5930.80
12-07-2013,5905.00
11-07-2013,5838.00
10-07-2013,5732.40
09-07-2013,5771.85
08-07-2013,5720.75
05-07-2013,5767.80
04-07-2013,5741.15
03-07-2013,5681.50
02-07-2013,5768.30
01-07-2013,5809.00
28-06-2013,5736.30
27-06-2013,5583.95
26-06-2013,5500.15
25-06-2013,5518.55
24-06-2013,5504.05
21-06-2013,5588.65
20-06-2013,5589.15
19-06-2013,5751.35
18-06-2013,5738.05
17-06-2013,5764.70
14-06-2013,5719.65
13-06-2013,5615.60
12-06-2013,5680.25
11-06-2013,5716.70
10-06-2013,5808.05
07-06-2013,5822.20
06-06-2013,5866.60
05-06-2013,5872.05
04-06-2013,5867.00
03-06-2013,5877.85
31-05-2013,5912.60
30-05-2013,6035.55
29-05-2013,6019.85
28-05-2013,6030.65
27-05-2013,6005.95
24-05-2013,5911.65
23-05-2013,5890.85
22-05-2013,6013.15
21-05-2013,6034.35
20-05-2013,6076.70
17-05-2013,6112.35
16-05-2013,6090.85
15-05-2013,6065.05
14-05-2013,5921.60
13-05-2013,5906.15
11-05-2013,6025.15
10-05-2013,6012.40
09-05-2013,5968.00
08-05-2013,5986.75
07-05-2013,5967.20
06-05-2013,5897.45
03-05-2013,5868.80
02-05-2013,5917.35
30-04-2013,5846.20
29-04-2013,5816.40
26-04-2013,5779.45
25-04-2013,5820.55
23-04-2013,5747.80
22-04-2013,5749.60
18-04-2013,5693.60
17-04-2013,5603.75
16-04-2013,5601.25
15-04-2013,5488.55
12-04-2013,5457.30
11-04-2013,5506.90
10-04-2013,5475.15
09-04-2013,5414.10
08-04-2013,5460.75
05-04-2013,5466.65
04-04-2013,5485.00
03-04-2013,5580.60
02-04-2013,5653.30
01-04-2013,5604.95
28-03-2013,5578.90
26-03-2013,5531.25
25-03-2013,5523.40
22-03-2013,5543.10
21-03-2013,5549.55
20-03-2013,5585.25
19-03-2013,5644.90
18-03-2013,5737.05
15-03-2013,5768.70
14-03-2013,5803.15
13-03-2013,5746.65
12-03-2013,5812.80
11-03-2013,5844.35
08-03-2013,5845.85
07-03-2013,5767.60
06-03-2013,5727.05
05-03-2013,5693.90
04-03-2013,5609.90
01-03-2013,5635.05
28-02-2013,5605.05
27-02-2013,5711.95
